priority_rank,content_id,client_id,rf_score,impressions_90d,days_since_last_update,avg_position,reason_code,recommended_action
107,content_80856ce26978,client_3fdba35f04,0.7586859917605244,2243,104,32.2,low_volume_deep_serp,monitor_or_prune
108,content_904e0e9b3406,client_3fdba35f04,0.7586341935699298,1670,104,34.0,low_volume_deep_serp,monitor_or_prune
109,content_14ddbb9aeb0a,client_3fdba35f04,0.7585590486927911,373,104,32.1,low_volume_deep_serp,monitor_or_prune
110,content_83380dd90400,client_3fdba35f04,0.7585549451998895,701,104,7.1,striking_distance_ctr_gap,title_meta_ctr_rewrite
111,content_854806ef5830,client_3fdba35f04,0.7584814386959757,232,104,33.2,low_volume_deep_serp,monitor_or_prune
112,content_819ff609e734,client_7f2253d7e2,0.758441417151486,38847,20,16.5,striking_distance_ctr_gap,title_meta_ctr_rewrite
113,content_d829395fda44,client_3fdba35f04,0.7584268194906221,296,104,12.3,striking_distance_ctr_gap,title_meta_ctr_rewrite
114,content_73f3a3c5e203,client_3fdba35f04,0.758296636932561,2104,104,21.8,low_volume_deep_serp,monitor_or_prune
115,content_b5ce413af5ed,client_7f2253d7e2,0.75820878279545,29016,20,18.9,low_volume_deep_serp,monitor_or_prune
116,content_383737c5080d,client_7f2253d7e2,0.7581362620233282,24252,20,23.0,low_volume_deep_serp,monitor_or_prune
117,content_b1d593faf9c6,client_3fdba35f04,0.7580800038351694,2655,104,8.3,striking_distance_ctr_gap,title_meta_ctr_rewrite
118,content_d9d6fd6a6b4b,client_7f2253d7e2,0.7580284883677441,31836,20,14.4,striking_distance_ctr_gap,title_meta_ctr_rewrite
119,content_530e806b3245,client_3fdba35f04,0.7580051541660157,2132,104,33.4,low_volume_deep_serp,monitor_or_prune
120,content_b398e033e752,client_3fdba35f04,0.7579016921662786,362,104,34.9,low_volume_deep_serp,monitor_or_prune
121,content_b74feecbc11b,client_3fdba35f04,0.7579016921662786,296,104,34.5,low_volume_deep_serp,monitor_or_prune
122,content_0be51c9e6cbd,client_f369cb89fc,0.7577534060201053,4205,8,0.7,low_volume_deep_serp,monitor_or_prune
123,content_55a1a3b15410,client_3fdba35f04,0.7571971456575665,817,104,14.7,striking_distance_ctr_gap,title_meta_ctr_rewrite
124,content_673fe764797f,client_7f2253d7e2,0.7571453787623925,13672,20,25.7,low_volume_deep_serp,monitor_or_prune
125,content_2eeb978900da,client_3fdba35f04,0.7570749849799994,888,104,19.5,striking_distance_ctr_gap,title_meta_ctr_rewrite
126,content_d7e9829c3b39,client_7f2253d7e2,0.7569250680949844,13402,20,18.9,striking_distance_ctr_gap,title_meta_ctr_rewrite
127,content_ab82c4705992,client_7f2253d7e2,0.7569172380314901,12315,20,20.6,low_volume_deep_serp,monitor_or_prune
128,content_0885b36a73e1,client_3fdba35f04,0.7569086300804626,1267,104,41.6,low_volume_deep_serp,monitor_or_prune
129,content_959e1cc9feeb,client_3fdba35f04,0.7568898755300509,611,104,38.1,low_volume_deep_serp,monitor_or_prune
130,content_bb499af42eb7,client_3fdba35f04,0.7568448347591158,1497,104,37.4,low_volume_deep_serp,monitor_or_prune
131,content_956fa666a622,client_3fdba35f04,0.7568434008776047,179,104,17.2,striking_distance_ctr_gap,title_meta_ctr_rewrite
132,content_6ee1588e8bcb,client_3fdba35f04,0.7565343311795659,989,104,27.3,low_volume_deep_serp,monitor_or_prune
133,content_1337de8128cc,client_3fdba35f04,0.7564484393272961,945,104,5.5,striking_distance_ctr_gap,title_meta_ctr_rewrite
