rank,content_id,client_id,impressions_90d,days_since_last_update,avg_position,ctr,baseline_score,reason_code,action_label,is_declining_label
6684,content_8a31d74a2bfc,client_19581e27de,24322,20,8.3,0.07,0.0,low_ctr_visible_page,title_meta_rewrite,0
6685,content_60e82604d07a,client_19581e27de,20974,104,6.0,0.13,0.0,page_one_decay_risk,title_meta_rewrite,1
6686,content_65b155afed44,client_f369cb89fc,53,20,4.8,0.0,0.0,general_monitoring,title_meta_rewrite,1
6687,content_01c8e21a98ce,client_b4944c6ff0,95,20,10.0,1.05,0.0,general_monitoring,monitor_performance,0
6688,content_e43d3f7d5642,client_6208ef0f77,15342,104,12.8,0.4,0.0,low_ctr_visible_page,title_meta_rewrite,1
6689,content_382a8677c328,client_6208ef0f77,24088,104,28.3,0.24,0.0,low_ctr_visible_page,title_meta_rewrite,1
6690,content_50b68d6579b0,client_19581e27de,3185,22,11.2,0.31,0.0,low_ctr_visible_page,title_meta_rewrite,0
6691,content_ddf3c07ed030,client_6208ef0f77,14950,104,14.4,0.98,0.0,general_monitoring,monitor_performance,1
6692,content_7860e3811c7d,client_25fc0e7096,3,6,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6693,content_2db901815249,client_8722616204,10,20,13.0,0.0,0.0,general_monitoring,title_meta_rewrite,1
6694,content_82bd3b63e2f8,client_4e07408562,2045,13,15.4,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,0
6695,content_e752a4e03dd3,client_6208ef0f77,130892,104,23.9,0.01,0.0,low_ctr_visible_page,title_meta_rewrite,1
6696,content_185543a6b4bb,client_a88a7902cb,39,28,15.8,0.0,0.0,general_monitoring,title_meta_rewrite,0
6697,content_9ba91a1c7fb5,client_3fdba35f04,27675,26,19.6,0.34,0.0,low_ctr_visible_page,title_meta_rewrite,0
6698,content_00474279dd1c,client_6208ef0f77,13713,104,37.1,0.03,0.0,low_ctr_visible_page,title_meta_rewrite,1
6699,content_e9ebd8612722,client_6208ef0f77,2904,104,30.9,0.28,0.0,low_ctr_visible_page,title_meta_rewrite,1
6700,content_bb0d22bdec61,client_6208ef0f77,482,104,34.0,0.0,0.0,general_monitoring,title_meta_rewrite,1
6701,content_669ece477f99,client_d029fa3a95,232,8,11.1,0.0,0.0,general_monitoring,title_meta_rewrite,1
